school_name	crimes_per1000
Maple Lane School	12458.333333333334
LITTLE SCHOOL	4966.666666666667
Carver Middle School	2990.174672489083
Tangipahoa Alternative Solutions Program	2400
DELLA LAMB @ WALLACE	2395.68345323741
Monroe Area High School	2103.2315978456013
EASTERN WRIGHT PROGRAM	2000
Murrell School	1709.090909090909
Luther E Ball (Chjcf)	1600
DELLA LAMB @ WOODLAND	1526.7175572519084
