Variable	Relative Influence
avg_suspensions	18.18459831405191
threats_no_weapon_incidents	15.742056715101652
free_reduced_lunch_per1000	6.341379555394409
expenditures_nonpersonnel	3.605591198130801
salaries_teachers	3.4874477124242182
black_pop	3.329148673507806
white_pop	3.123361873862461
teachers_previous_sy	2.8033481400215066
labor_force_participation	2.7914629992731794
pacific_pop	2.5882115551839124
