Method	Test RMSE (Sqrt Transformed)	Test RMSE
OLS	3.4217422681305414	68.75909041904667
Intercept-Only	3.676368994485566	63.822873368819316
Ridge	3.669238954152288	63.79863603733705
Lasso	3.604946152416343	63.51245714591568
