Method	Test RMSE
OLS	68.75909041904667
Intercept-Only	63.822873368819316
Ridge	63.79863603733705
Lasso	63.51245714591568
Tree	60.666477976890455
Random Forest	57.945127958275876
Boosting	56.95107568424197
